"player_names","player_ids"
"Baptiste Santamaría",236558
"Hugo Ekitike",403784
"Sanjin Prcic",107891
"Wahbi Khazri",71381
"Ruben Aguilar",236546
"Ryad Boudebouz",67958
"Mickael Nade",338072
"Castello Lukeba",415172
"Mahdi Camara",349960
"Rominigue Kouamé",342570
"Predrag Rajkovic",135061
"Kevin Danso",330816
"Jonas Martin",92792
"Yunis Abdelhamid",234352
"Mamadou Sakho",29575
"Birger Meling",320738
"Anthony Caci",321145
"Thomas Mangani",34212
"Gerson",242791
"Alexis Flips",409742
"José Fonte",19859
"Armand Laurienté",355994
"Pablo Rosario",329647
"Akim Zedadka",236489
"Dimitri Lienard",137720
"Lucien Agoume",388505
"Jordan Ferri",95422
"Gerzino Nyamsi",345386
"Pau López",145427
"Yacine Adli",357811
"Nuno Mendes",395221
"Dante",6683
"Anthony Lopes",71833
"Maxence Caqueret",368272
"Nicolas Pallois",84899
"Quentin Merlin",411087
"Przemyslaw Frankowski",339500
"Luan Peres",319364
"Axel Disasi",300426
"Mehmet Zeki Çelik",136481
"Jonathan Bamba",241019
"Léo Dubois",146724
"Jean-Charles Castelletto",239806
"Florent Mollet",114169
"Lucas Perrin",375340
"Tristan Dingomé",108334
"Elbasan Rashani",84477
"Enzo Le Fée",398393
"Nicolas de Préville",78443
"Pedro Chirivella",297409
"Vital N'Simba",296437
"Giulian Biancone",367162
"Denis Bouanga",249857
"Alberth Elis",229466
"Jason Berthomier",296358
"Yohann Magnin",429038
"Xavier Chavalerin",236556
"Christophe Hérelle",112220
"Jean-Ricner Bellegarde",320242
"Kevin Volland",92812
"Habib Maïga",323211
"Remi Oudin",322421
"Jean-Kévin Duverne",374992
"Nicolas Cozza",342540
"Xeka",329409
"Hicham Boudaoui",377583
"Jérôme Boateng",23589
"Duje Caleta-Car",251134
"Marco Bizot",83824
"Caio Henrique",320313
"Warmed Omari",405170
"Arkadiusz Milik",104257
"Ismael Traoré",27356
"Yoann Salmier",248411
"Kevin Gameiro",19453
"Thomas Delaine",101911
"Khéphren Thuram-Ulien",366379
"Facundo Medina",330672
"Arnaud Souquet",80465
"Jean Lucas",355659
"Renaud Ripart",232582
"Mihailo Ristic",244778
"Youssouf Fofana",362470
"Kasper Dolberg",322163
"Matz Sels",78386
"Valère Germain",93917
"Haris Belkebla",236553
